銘柄コード,銘柄名,前日終値,前日始値,前日高値,前日安値,前日出来高,前日RSI14,前日BB上限,前日BBミドル,前日BB下限
3105,日清紡ホールディングス,1629,1634,1643,1590,105400,59.59
2962,テクニスコ,1629,1634,1643,1590,105400,59.59
6613,QDレーザー,1629,1634,1643,1590,105400,59.59
6552,アスタリスク,1629,1634,1643,1590,105400,59.59
485A,パワーエックス,1629,1634,1643,1590,105400,59.59
4183,三井化学,1629,1634,1643,1590,105400,59.59
254A,AIフュージョン,1629,1634,1643,1590,105400,59.59
4980,デクセリアルズ,1629,1634,1643,1590,105400,59.59
5016,JA金属,1629,1634,1643,1590,105400,59.59
6965,浜松ホトニクス,1629,1634,1643,1590,105400,59.59
4434,サーバーワークス,1629,1634,1643,1590,105400,59.59
4107,伊勢化学工業,1629,1634,1643,1590,105400,59.59
5243,note,1629,1634,1643,1590,105400,59.59
